"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"61617",2,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,4,2,2,3,3,6,3,4,3
"61618",2,4,5,2,5,5,4,4,3,4,1,1,6,4,3,3,3,3,5,5,4,2,4,3,3
"61620",5,4,5,4,4,4,5,4,2,5,2,4,4,4,5,4,5,4,2,3,4,2,5,5,2
"61621",4,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,5,2,4,1,3,3,4,3,5
"61622",2,3,3,4,5,4,4,5,3,2,2,2,5,4,5,2,3,4,4,3,3,3,4,3,3
"61623",6,6,5,6,5,6,6,6,1,3,2,1,6,5,6,3,5,2,2,3,4,3,5,6,1
"61624",2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,2,2,1,1,5,2,5,6,1
"61629",4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3
"61630",4,3,6,3,3,6,6,3,4,5,5,3,NA,4,3,5,5,2,3,3,6,6,6,6,1
"61633",2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,5,5,5,2,4,5,1,5,5,2
"61634",4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,3,3,4,2,3,5,3,5,6,3
"61636",2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,4,5,3,2,NA,4,6,4,5,4
"61637",5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,1,2,2,2,2,4,2,4,5,2
"61639",5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,1,1,2,1,5,3,4,4,4
"61640",4,5,2,2,1,5,5,5,2,2,3,4,3,6,5,2,4,2,2,3,5,2,5,5,5
"61643",4,3,6,6,3,5,5,5,3,5,1,1,6,6,4,4,5,4,5,5,6,6,6,3,2
"61650",4,6,6,2,5,4,4,4,4,4,1,2,5,5,5,4,4,4,4,5,5,1,5,6,3
"61651",5,5,5,4,5,5,5,5,4,3,2,2,4,6,6,6,5,5,4,4,5,1,4,5,4
"61653",4,4,5,4,3,5,4,5,4,6,1,2,4,5,5,5,6,5,5,2,4,2,2,4,2
"61654",4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,5,5,5,1,1,4,1,5,3,2
"61656",5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,3,3,2,1,6,1,3,2,4
"61659",1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,5,5,4,6,5,1,6,6,2
"61661",1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,2,2,2,2,2,6,1,5,5,2
"61664",2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,4,4,4,6,6,6,1,5,6,1
"61667",4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,2,3,3,1,1,6,2,5,6,2
"61668",1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,1,2,1,6,4,5,5,3
"61669",2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,3,3,5,3,2,5,2,6,6,1
"61670",2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,4,4,5,2,3,6,1,6,4,3
"61672",2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,1,4,2,2,5,2,4,5,4,1
"61673",4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,5,4,4,3,1,4,4,6,5,1
"61678",1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,5,5,5,6,6,4,3,3,6,5
"61679",2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,3,2,4,1,2,5,2,5,5,2
"61682",1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,2,1,3,6,6,6,5,6,1
"61683",2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,2,4,1,3,5,5,5,4,2
"61684",4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,NA,2,1,2,2,4,3,5,5,3
"61685",5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,5,3,4,4,3,4,5,4,4,3
"61686",1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,2,2,2,4,1,5,5,4,5,3
"61687",1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,5,6,5,5,4,5,5,4,5,2
"61688",1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1
"61691",1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,1,2,1,2,1,5,1,6,6,1
"61692",1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,2,3,3,3,4,3,2,5,2
"61693",5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,1,2,1,2,NA,3,3,2,2,5
"61696",1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,2,3,1,3,2,4,3,5,4,3
"61698",5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,2,2,3,4,5,3,5,4,4,4
"61700",2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,2,2,2,3,5,2,5,5,1
"61701",1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,2,1,4,6,5,6,5,6,6,1
"61702",5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,4,5,3,5,2,3,5,4,4,2
"61703",2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2
"61713",1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,5,5,5,5,3,3,3,2,5,1
"61715",1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,4,4,1,1,1,6,3,6,6,1
"61716",1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2
"61723",1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,1,1,1,6,5,5,6,3,6,3
"61724",3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,2,2,1,1,1,5,1,5,5,6
"61725",4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4
"61728",1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,2,3,2,3,2,5,3,5,5,2
"61730",1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,2,4,4,5,3,5,1,6,6,1
"61731",1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,3,4,5,5,5,4,4,6,6,3
"61732",3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,5,5,5,3,2,5,2,5,5,5
"61740",1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,3,4,4,4,4,4,4,4,2,1
"61742",3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,2,1,4,1,4,3,5,5,2
"61748",2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,4,4,6,5,2,2,4,3,5,5
"61749",2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,4,5,4,5,5,6,6,4,6,2
"61754",1,4,6,6,6,NA,6,6,2,3,1,1,5,6,6,4,4,3,1,3,5,3,3,6,3
"61756",4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,3,5,3,1,3,4,1,4,6,1
"61757",2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,4,3,6,6,4,4,1,6,6,3
"61759",2,NA,4,6,4,5,4,5,2,1,5,5,3,3,3,1,1,1,NA,1,2,1,4,6,1
"61761",1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,2,5,5,4,2,5,4,4,6,1
"61762",4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,2,1,5,2,6,1,6,6,1
"61763",2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,1,2,2,4,2,3,2,5,5,2
"61764",1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,1,2,2,5,2,6,2,3,5,2
"61771",4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,3,1,3,4,1,4,6,2
"61772",2,4,6,2,5,2,4,4,1,1,1,1,4,4,NA,1,3,2,2,1,6,2,4,5,3
"61773",4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3
"61775",1,5,5,5,4,5,5,5,1,2,4,4,3,2,5,1,2,4,4,4,5,1,5,4,2
"61776",3,5,5,5,4,5,5,5,1,1,2,3,5,5,4,2,1,2,2,3,5,1,5,4,2
"61777",2,5,5,6,5,5,4,6,3,2,1,1,4,6,5,2,2,3,3,2,5,1,4,3,4
"61778",2,6,6,6,6,5,4,5,1,2,1,1,6,6,5,2,4,2,1,1,6,3,5,4,1
"61780",5,6,6,6,5,5,5,6,3,4,1,2,5,6,6,4,3,4,4,6,5,4,5,6,3
"61782",1,2,2,4,2,2,4,2,5,1,2,2,4,2,2,4,2,2,2,4,2,3,4,2,4
"61783",2,5,5,5,5,4,2,3,5,4,4,4,4,5,4,2,3,4,5,2,4,4,3,5,1
"61784",1,5,6,5,3,6,5,4,4,3,4,5,4,4,5,3,3,3,4,3,6,2,5,6,2
"61788",1,6,3,3,1,6,6,5,1,6,4,5,3,5,1,4,4,6,6,5,6,1,6,6,1
"61789",1,4,6,2,6,3,3,4,4,5,6,4,5,6,2,3,5,4,6,4,6,2,5,6,1
"61793",1,6,6,5,6,5,6,5,1,1,3,2,5,5,5,3,3,2,2,2,4,5,4,5,2
"61794",1,6,5,2,6,4,5,5,2,3,3,4,4,5,3,2,4,5,6,6,6,5,4,6,1
"61797",4,4,4,6,5,2,5,4,4,3,5,3,3,3,5,2,2,4,2,4,3,4,3,4,4
"61798",1,5,5,5,5,4,4,5,2,2,5,2,2,5,5,3,3,2,2,2,4,5,5,4,4
"61801",1,6,5,4,6,4,5,4,4,5,2,2,4,5,5,1,3,2,2,2,5,1,4,5,2
"61808",1,6,4,6,4,4,4,5,2,4,1,2,4,5,5,2,3,2,2,2,4,2,3,4,2
"61812",3,4,5,5,4,3,3,NA,3,3,4,4,4,3,4,3,3,4,4,3,4,2,4,4,3
"61813",1,5,5,5,5,5,2,4,1,2,4,1,5,5,5,1,1,1,4,1,6,1,5,5,2
"61816",1,5,6,2,5,5,4,5,3,4,3,5,4,4,4,3,3,4,3,4,6,1,5,6,2
"61818",2,4,5,4,5,2,2,3,4,4,1,5,2,6,2,2,3,6,4,6,3,2,2,2,5
"61819",1,6,6,3,6,6,6,5,1,1,1,3,5,6,6,2,5,4,6,1,6,2,5,6,1
"61821",2,6,4,6,4,4,5,6,3,1,2,4,2,5,4,4,5,2,3,6,3,4,3,5,6
"61822",2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,3,4,6,6,6,5,2,3,5,4
"61825",3,1,2,2,2,2,1,2,6,6,6,6,1,1,1,3,5,4,4,4,5,1,3,6,1
"61826",1,4,5,5,6,6,4,4,1,1,5,1,2,3,5,1,2,1,1,1,5,1,5,6,1
"61829",4,3,2,6,5,4,5,6,2,6,5,5,1,5,5,4,5,6,6,6,5,1,2,6,4
"61831",2,6,2,3,4,4,2,5,3,5,5,3,2,3,5,1,1,1,2,2,2,1,5,3,3
"61834",2,5,5,3,5,4,3,4,3,5,3,5,4,5,5,NA,5,6,4,4,6,2,5,6,1
"61835",3,4,4,2,4,4,3,4,4,2,2,3,4,3,5,4,4,2,2,4,4,2,5,4,2
"61838",2,5,5,5,2,6,6,4,1,5,3,2,2,2,5,4,5,5,5,4,6,2,5,6,1
"61839",1,4,5,2,6,2,1,2,4,6,6,5,3,3,3,2,1,3,3,1,4,3,4,5,6
"61840",1,6,4,1,1,6,4,5,2,1,6,6,3,1,1,4,3,6,6,5,2,3,3,6,3
"61841",1,6,5,6,6,5,3,4,6,5,2,4,3,4,5,4,5,4,3,4,5,4,4,6,2
"61847",1,5,5,5,2,6,NA,6,1,1,3,2,1,2,6,5,NA,5,4,3,4,1,6,6,1
"61848",6,1,1,1,2,3,6,3,3,4,1,4,5,2,6,6,6,3,2,5,6,1,6,5,2
"61851",2,6,5,6,5,5,4,4,4,6,1,3,4,6,4,5,6,2,4,6,6,5,6,6,2
"61852",3,6,5,6,4,3,5,2,3,4,2,5,6,6,5,6,6,6,4,6,5,4,4,6,4
"61854",1,6,6,6,6,4,4,5,3,4,3,2,4,5,4,2,3,2,3,4,4,1,5,6,1
"61856",NA,4,5,6,4,5,5,5,1,5,3,4,3,2,3,1,2,1,4,2,3,6,1,3,3
"61857",1,6,6,5,4,5,3,5,1,2,2,4,4,5,4,1,1,1,2,2,4,2,4,6,2
"61861",1,6,6,6,6,6,6,5,1,6,5,5,2,5,5,1,5,5,5,6,6,1,6,6,2
"61862",1,6,5,4,5,5,4,5,2,2,1,1,6,6,5,2,2,2,2,2,6,1,5,4,1
"61865",4,2,1,2,2,4,1,2,6,6,5,5,2,2,1,2,4,2,4,2,2,6,3,5,5
"61868",1,5,4,3,4,5,6,4,1,4,3,2,4,5,6,1,2,2,4,1,4,1,6,5,1
"61873",5,2,2,2,1,2,2,2,3,5,5,6,2,1,2,4,4,2,2,2,5,1,5,5,2
"61874",2,5,4,3,4,5,4,5,2,3,1,2,4,5,5,4,4,3,2,3,6,1,5,5,2
"61880",1,5,6,6,6,6,5,4,2,6,1,2,5,6,6,1,2,2,2,4,6,1,6,6,1
"61886",4,6,5,5,6,4,6,5,5,2,1,3,6,6,6,4,3,1,3,4,6,3,6,5,3
"61888",2,5,4,4,4,4,5,5,5,5,5,6,3,2,2,3,4,2,5,6,2,4,4,6,4
"61889",6,5,5,2,5,5,5,6,1,1,1,2,5,5,6,5,4,4,3,1,6,2,6,5,1
"61890",2,5,5,1,6,5,5,5,3,6,2,4,6,6,5,4,4,3,3,1,5,3,6,4,2
"61891",2,4,5,5,5,5,5,4,6,6,5,5,5,5,3,1,2,2,4,2,5,2,5,6,1
"61895",2,5,5,5,2,5,5,5,2,6,5,5,3,2,2,2,3,2,5,5,5,1,6,6,1
